Penyakit,Gejala,Solusi
Ulat Grayak (Pisang),pisang daun berlubang tidak beraturan,"**(Penyebab: Spodoptera litura)**

Langkah Penanganan:
Gunakan insektisida biologis, perangkap feromon"
Layu Fusarium (Pisang),pisang daun layu dari bawah ke atas,"**(Penyebab: Fusarium oxysporum)**

Langkah Penanganan:
Solarisasi tanah, fungisida, varietas tahan"
Antraknosa (Pisang),pisang buah muncul bercak hitam cekung,"**(Penyebab: Colletotrichum capsici)**

Langkah Penanganan:
Fungisida, panen cepat, rotasi tanaman"
Busuk Buah (Pisang),"pisang buah coklat kehitaman, busuk lembek","**(Penyebab: Phytophthora palmivora)**

Langkah Penanganan:
Pangkas buah sakit, fungisida, drainase baik"
Karat Daun (Pisang),pisang daun bercak kuning-oranye,"**(Penyebab: Hemileia vastatrix)**

Langkah Penanganan:
Fungisida tembaga, pangkas daun sakit"
Virus Kuning (Pisang),"pisang daun keriting, kerdil, berubah kuning","**(Penyebab: Virus Gemini via kutu kebul)**

Langkah Penanganan:
Kendalikan kutu kebul, varietas tahan"
Busuk Akar (Pisang),"pisang akar membusuk, tanaman layu mendadak","**(Penyebab: Phytophthora spp.)**

Langkah Penanganan:
Perbaiki drainase, fungisida tanah"
Penggerek Buah (Pisang),"pisang buah berlubang kecil, biji rusak","**(Penyebab: Hypothenemus hampei)**

Langkah Penanganan:
Perangkap serangga, insektisida nabati"
Sigatoka (Pisang),pisang daun bercak memanjang,"**(Penyebab: Mycosphaerella musicola)**

Langkah Penanganan:
Gunakan fungisida tanah, perbaiki drainase, dan hindari kelembaban berlebih"
Fusarium Wilt (Layu Fusarium) (Pisang),"pisang tanaman layu cepat (sering satu sisi), jaringan vaskular coklat di dalam batang.","**(Penyebab: Layu cepat, pembuluh coklat)**

Langkah Penanganan:
Rotasi tanaman, tingkatkan pH tanah, gunakan varietas tahan, gunakan agens hayati Trichoderma."
Kutu Putih (Rambutan),rambutan daun lengket dan berjamur,"**(Penyebab: Pseudococcus lilacinus)**

Langkah Penanganan:
Gunakan fungisida, pangkas daun terinfeksi, dan atur jarak tanam"
Busuk Kaki (Salak),salak batang bawah membusuk,"**(Penyebab: Phytophthora parasitica)**

Langkah Penanganan:
Gunakan insektisida sistemik, bersihkan bagian terserang, dan kendalikan semut"
Embun Bulu (Sawi),sawi daun kuning berbulu,"**(Penyebab: Pseudoperonospora cubensis)**

Langkah Penanganan:
Perbaiki drainase, gunakan fungisida sistemik, dan hindari genangan air"
Antraknosa (Sawi),sawi daun bercak,"**(Penyebab: Colletotrichum lagenarium)**

Langkah Penanganan:
Gunakan fungisida, kurangi kelembaban, dan atur jarak tanam"
Downy Mildew (Embun Bulu) (Sayuran Daun),"sayuran daun bercak kuning di atas daun, lapisan kelabu keunguan di bawah daun.","**(Penyebab: Bercak kuning di atas daun, lapisan kelabu keunguan di bawah daun)**

Langkah Penanganan:
Kurangi kelembapan, gunakan fungisida berbahan aktif tembaga (copper-based)."
Downy Mildew (Embun Bulu) (Selada),"selada bercak kuning di atas daun, lapisan kelabu keunguan di bawah daun.","**(Penyebab: Bercak kuning di atas daun, lapisan kelabu keunguan di bawah daun)**

Langkah Penanganan:
Kurangi kelembapan, gunakan fungisida berbahan aktif tembaga (copper-based)."
Busuk Akar (Semangka),semangka daun berwarna kuning,"**(Penyebab: Jamur Rhizoctonia solani)**

Langkah Penanganan:
Perbaikan drainase tanah"
Bercak Daun Cercospora (Semangka),"semangka terdapat bercak pada daun, daun mengalami kelayuan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Cercospora spp.)**

Langkah Penanganan:
Fungisida dan sanitasi kebun"
Layu Bakteri (Semangka),semangka daun mengalami kelayuan,"**(Penyebab: Bakteri Ralstonia solanacearum)**

Langkah Penanganan:
Gunakan varietas tahan dan sanitasi lahan"
Karat Daun (Semangka),"semangka daun tetap hijau, pertumbuhan tanaman terhambat","**(Penyebab: jamur Puccinia spp.)**

Langkah Penanganan:
sanitasi kebun, rotasi tanaman, varietas tahan, fungisida"
Jamur Upas (Semangka),"semangka daun tetap hijau, terdapat bercak pada daun, pertumbuhan tanaman terhambat","**(Penyebab: jamur Upasia salmonicolor)**

Langkah Penanganan:
pemangkasan bagian sakit, sanitasi kebun, menjaga kelembapan, fungisida"
Busuk Lunak (Semangka),"semangka daun tetap hijau, terdapat bercak pada daun, daun mengalami kelayuan, pertumbuhan tanaman terhambat","**(Penyebab: bakteri Pectobacterium carotovorum)**

Langkah Penanganan:
sanitasi kebun, pengaturan kelembapan, penggunaan bibit sehat, bakterisida"
Busuk Akar Phytophthora (Semangka),"semangka daun berwarna kuning, daun mengalami kelayuan, batang mengalami pembusukan","**(Penyebab: jamur air Phytophthora capsici)**

Langkah Penanganan:
drainase baik, penggunaan mulsa, rotasi tanaman, fungisida"
Busuk Lunak (Semangka),"semangka daun tetap hijau, terdapat bercak pada daun, daun mengalami kelayuan, pertumbuhan tanaman terhambat","**(Penyebab: bakteri Pectobacterium carotovorum)**

Langkah Penanganan:
sanitasi kebun, pengaturan kelembapan, bibit sehat, bakterisida"
Layu Fusarium (Semangka),"semangka daun tetap hijau, terdapat bercak pada daun, daun mengalami kelayuan, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: jamur Fusarium oxysporum)**

Langkah Penanganan:
rotasi tanaman, varietas tahan, sanitasi lahan, fungisida"
Layu Bakteri (Semangka),"semangka daun berwarna kuning, daun mengalami kelayuan, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: bakteri Ralstonia solanacearum)**

Langkah Penanganan:
bibit sehat, rotasi tanaman, sanitasi lahan, bakterisida"
Layu Fusarium (Semangka),"semangka daun tetap hijau, terdapat bercak pada daun, daun mengalami kelayuan, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: jamur Fusarium oxysporum)**

Langkah Penanganan:
rotasi tanaman, varietas tahan, fungisida"
Bercak Daun (Semangka),"semangka daun berwarna kuning, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Cercospora citrullina)**

Langkah Penanganan:
sanitasi tanaman sakit, rotasi tanaman, pengaturan kelembaban kebun, fungisida klorotalonil atau mankozeb"
Karat Daun (Semangka),semangka daun mengalami kelayuan,"**(Penyebab: Jamur Puccinia spp.)**

Langkah Penanganan:
sanitasi tanaman sakit, pengurangan kelembaban kebun, fungisida mankozeb atau propikonazol"
Busuk Lunak (Semangka),"semangkadaun tetap hijau, terdapat bercak pada daun, daun mengalami kelayuan, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Bakteri Erwinia carotovora)**

Langkah Penanganan:
sanitasi kebun, pengaturan kelembaban, bakterisida tembaga"
Busuk Hitam (Semangka),"semangka daun berwarna kuning, daun mengalami kelayuan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Aspergillus niger)**

Langkah Penanganan:
sanitasi buah sakit, rotasi tanaman, fungisida mankozeb"
Blas (Semangka),semangka daun bercak coklat berbentuk belah ketupat,"**(Penyebab: Jamur Magnaporthe oryzae)**

Langkah Penanganan:
Gunakan varietas tahan, fungisida, perbaikan drainase"
Wereng Batang Coklat (Semangka),semangka daun menguning lalu mengering,"**(Penyebab: Nilaparvata lugens)**

Langkah Penanganan:
Gunakan insektisida selektif, varietas tahan"
Ulat Grayak (Semangka),semangka daun berlubang tidak beraturan,"**(Penyebab: Spodoptera litura)**

Langkah Penanganan:
Gunakan insektisida biologis, perangkap feromon"
Layu Fusarium (Semangka),semangka daun layu dari bawah ke atas,"**(Penyebab: Fusarium oxysporum)**

Langkah Penanganan:
Solarisasi tanah, fungisida, varietas tahan"
Antraknosa (Semangka),semangka buah muncul bercak hitam cekung,"**(Penyebab: Colletotrichum capsici)**

Langkah Penanganan:
Fungisida, panen cepat, rotasi tanaman"
Busuk Buah (Semangka),"semangka buah coklat kehitaman, busuk lembek","**(Penyebab: Phytophthora palmivora)**

Langkah Penanganan:
Pangkas buah sakit, fungisida, drainase baik"
Karat Daun (Semangka),semangka daun bercak kuning-oranye,"**(Penyebab: Hemileia vastatrix)**

Langkah Penanganan:
Fungisida tembaga, pangkas daun sakit"
Virus Kuning (Semangka),"semangka daun keriting, kerdil, berubah kuning","**(Penyebab: Virus Gemini via kutu kebul)**

Langkah Penanganan:
Kendalikan kutu kebul, varietas tahan"
Busuk Akar (Semangka),"semangka akar membusuk, tanaman layu mendadak","**(Penyebab: Phytophthora spp.)**

Langkah Penanganan:
Perbaiki drainase, fungisida tanah"
Penggerek Buah (Semangka),"semangka buah berlubang kecil, biji rusak","**(Penyebab: Hypothenemus hampei)**

Langkah Penanganan:
Perangkap serangga, insektisida nabati"
Embun Bulu (Semangka),semangka daun berbulu putih,"**(Penyebab: Pseudoperonospora cubensis)**

Langkah Penanganan:
Gunakan fungisida, sanitasi lahan, dan rotasi tanaman"
Antraknosa (Semangka),semangka buah bercak cekung,"**(Penyebab: Colletotrichum lagenarium)**

Langkah Penanganan:
Gunakan fungisida, perbaiki sirkulasi udara, dan kurangi kelembaban"
Busuk Akar Phytophthora (Singkong),"singkong  daun tetap hijau, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Phytophthora palmivora)**

Langkah Penanganan:
Perbaikan drainase tanah, hindari genangan air, dan penggunaan fungisida sistemik"
Busuk Hitam (Singkong),"singkong  daun tetap hijau, daun mengalami kelayuan","**(Penyebab: Bakteri Xanthomonas campestris)**

Langkah Penanganan:
Rotasi tanaman dan penggunaan benih sehat"
Layu Fusarium (Singkong),singkong  daun tetap hijau,"**(Penyebab: Jamur Fusarium oxysporum)**

Langkah Penanganan:
Rotasi tanaman dan varietas tahan"
Bercak Daun (Singkong),"singkong  daun berwarna kuning, terdapat bercak pada daun, daun mengalami kelayuan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Alternaria spp.)**

Langkah Penanganan:
Fungisida dan sanitasi kebun"
Layu Fusarium (Singkong),singkong  batang mengalami pembusukan,"**(Penyebab: Jamur Fusarium oxysporum)**

Langkah Penanganan:
Rotasi tanaman dan fungisida"
Antraknosa (Singkong),"singkong  daun berwarna kuning, batang mengalami pembusukan","**(Penyebab: Jamur Colletotrichum spp.)**

Langkah Penanganan:
Fungisida dan rotasi tanaman"
Karat Daun (Singkong),"singkong  daun berwarna kuning, terdapat bercak pada daun, daun mengalami kelayuan, batang mengalami pembusukan","**(Penyebab: Jamur karat daun)**

Langkah Penanganan:
Semprot fungisida"
Bercak Daun (Singkong),"singkong  daun tetap hijau, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: jamur Cercospora henningsii)**

Langkah Penanganan:
sanitasi daun sakit, rotasi tanaman, penggunaan varietas tahan, fungisida"
Bercak Daun Cercospora (Singkong),"singkong  daun tetap hijau, daun mengalami kelayuan","**(Penyebab: jamur Cercospora henningsii)**

Langkah Penanganan:
sanitasi daun sakit, rotasi tanaman, varietas tahan, fungisida"
Embun Tepung (Singkong),"singkong  terdapat bercak pada daun, daun mengalami kelayuan","**(Penyebab: jamur Oidium manihotis)**

Langkah Penanganan:
sanitasi daun sakit, sirkulasi udara baik, rotasi tanaman, fungisida"
Antraknosa (Singkong),"singkong  daun berwarna kuning, batang mengalami pembusukan","**(Penyebab: Jamur Colletotrichum gloeosporioides)**

Langkah Penanganan:
Sanitasi tanaman, fungisida, varietas tahan"
Antraknosa (Singkong),"singkong  daun berwarna kuning, daun mengalami kelayuan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Colletotrichum gloeosporioides)**

Langkah Penanganan:
sanitasi tanaman sakit, varietas tahan, rotasi tanaman, fungisida mankozeb"
Busuk Buah Botrytis (Singkong),"singkong  daun berwarna kuning, terdapat bercak pada daun, daun mengalami kelayuan, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Botrytis cinerea)**

Langkah Penanganan:
sanitasi tanaman sakit, pengaturan kelembaban, fungisida iprodione atau mankozeb"
Layu Fusarium (Singkong),"singkong  daun tetap hijau, daun mengalami kelayuan, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Fusarium oxysporum)**

Langkah Penanganan:
rotasi tanaman, bibit sehat, solarisasi tanah, agen hayati Trichoderma"
Busuk Akar Phytophthora (Singkong),"singkong  daun tetap hijau, terdapat bercak pada daun, batang mengalami pembusukan","**(Penyebab: Jamur Phytophthora palmivora)**

Langkah Penanganan:
perbaikan drainase tanah, sanitasi tanaman sakit, fungisida metalaksil"
Blas (Singkong),singkong  daun bercak coklat berbentuk belah ketupat,"**(Penyebab: Jamur Magnaporthe oryzae)**

Langkah Penanganan:
Gunakan varietas tahan, fungisida, perbaikan drainase"
Wereng Batang Coklat (Singkong),singkong  daun menguning lalu mengering,"**(Penyebab: Nilaparvata lugens)**

Langkah Penanganan:
Gunakan insektisida selektif, varietas tahan"
Ulat Grayak (Singkong),singkong  daun berlubang tidak beraturan,"**(Penyebab: Spodoptera litura)**

Langkah Penanganan:
Gunakan insektisida biologis, perangkap feromon"
Layu Fusarium (Singkong),singkong  daun layu dari bawah ke atas,"**(Penyebab: Fusarium oxysporum)**

Langkah Penanganan:
Solarisasi tanah, fungisida, varietas tahan"
Antraknosa (Singkong),singkong  buah muncul bercak hitam cekung,"**(Penyebab: Colletotrichum capsici)**

Langkah Penanganan:
Fungisida, panen cepat, rotasi tanaman"
Busuk Buah (Singkong),"singkong  buah coklat kehitaman, busuk lembek","**(Penyebab: Phytophthora palmivora)**

Langkah Penanganan:
Pangkas buah sakit, fungisida, drainase baik"
Karat Daun (Singkong),singkong  daun bercak kuning-oranye,"**(Penyebab: Hemileia vastatrix)**

Langkah Penanganan:
Fungisida tembaga, pangkas daun sakit"
Virus Kuning (Singkong),"singkong  daun keriting, kerdil, berubah kuning","**(Penyebab: Virus Gemini via kutu kebul)**

Langkah Penanganan:
Kendalikan kutu kebul, varietas tahan"
Busuk Akar (Singkong),"singkong  akar membusuk, tanaman layu mendadak","**(Penyebab: Phytophthora spp.)**

Langkah Penanganan:
Perbaiki drainase, fungisida tanah"
Penggerek Buah (Singkong),"singkong buah berlubang kecil, biji rusak","**(Penyebab: Hypothenemus hampei)**

Langkah Penanganan:
Perangkap serangga, insektisida nabati"
Busuk Lunak (Stroberi),"stroberi daun berwarna kuning, daun mengalami kelayuan, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Bakteri Pectobacterium carotovorum)**

Langkah Penanganan:
Sanitasi tanaman, buang bagian terinfeksi, perbaiki drainase, gunakan bibit sehat, aplikasi bakterisida"
Bercak Lunak (Stroberi),"stroberi daun berwarna kuning, terdapat bercak pada daun","**(Penyebab: Bakteri Pectobacterium carotovorum)**

Langkah Penanganan:
Sanitasi tanaman dan bakterisida"
Karat Daun (Stroberi),"stroberi daun tetap hijau, terdapat bercak pada daun, batang mengalami pembusukan","**(Penyebab: Jamur karat daun)**

Langkah Penanganan:
Pangkas daun sakit, gunakan fungisida"
Hawar Daun Bakteri (Stroberi),"stroberi daun berwarna kuning, terdapat bercak pada daun, daun mengalami kelayuan, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Bakteri patogen daun)**

Langkah Penanganan:
Gunakan bakterisida"
Layu Fusarium (Stroberi),"stroberi daun berwarna kuning, daun mengalami kelayuan","**(Penyebab: Jamur Fusarium oxysporum)**

Langkah Penanganan:
Rotasi tanaman dan fungisida"
Hawar Daun Bakteri (Stroberi),"stroberi daun tetap hijau, terdapat bercak pada daun, daun mengalami kelayuan","**(Penyebab: Bakteri Xanthomonas spp.)**

Langkah Penanganan:
Gunakan bibit sehat, sanitasi tanaman, bakterisida"
Busuk Lunak (Stroberi),"stroberi batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Bakteri Erwinia carotovora)**

Langkah Penanganan:
Drainase baik, sanitasi tanaman"
Hawar Daun Bakteri (Stroberi),"stroberi daun tetap hijau, terdapat bercak pada daun, daun mengalami kelayuan","**(Penyebab: Bakteri Xanthomonas spp.)**

Langkah Penanganan:
Bibit sehat, bakterisida"
Bercak Daun (Stroberi),stroberi daun bercak coklat,"**(Penyebab: Mycosphaerella fragariae)**

Langkah Penanganan:
Gunakan fungisida, sanitasi kebun, dan rotasi tanaman"
Kapang Kelabu (Stroberi),stroberi buah berjamur abu-abu,"**(Penyebab: Botrytis cinerea)**

Langkah Penanganan:
Gunakan fungisida (iprodione/klorotalonil), kurangi kelembaban, lakukan sanitasi buah terinfeksi, dan atur jarak tanam"
Black Spot (Bercak Hitam) (Tanaman Hias),"tanaman hias memiliki bercak hitam lingkaran dengan tepi tidak rata, daun menguning dan gugur.","**(Penyebab: Bercak hitam lingkaran, daun menguning dan gugur)**

Langkah Penanganan:
Buang daun terinfeksi, pangkas tanaman yang terlalu rimbun, hindari penyiraman overhead."
Sooty Mold (Embun Jelaga) (Tanaman Hias),tanaman hias lapisan hitam seperti jelaga di permukaan daun (akibat kutu).,"**(Penyebab: Lapisan hitam seperti jelaga)**

Langkah Penanganan:
Kendalikan hama penghisap (kutu kebul/kutu daun) yang menghasilkan embun madu."
Jamur Upas (Tebu),tebu pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Upasia salmonicolor)**

Langkah Penanganan:
Pangkas cabang terinfeksi, sanitasi kebun, dan fungisida"
Embun Tepung (Tebu),"stroberi tebu daun tetap hijau, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Erysiphe spp.)**

Langkah Penanganan:
Semprot fungisida sulfur dan kurangi kelembaban"
Busuk Hitam (Tebu),tebu terdapat bercak pada daun,"**(Penyebab: Bakteri Xanthomonas campestris)**

Langkah Penanganan:
Rotasi tanaman dan sanitasi"
Hawar Daun Bakteri (Tebu),"tebu daun tetap hijau, batang mengalami pembusukan","**(Penyebab: Jamur Botrytis cinerea)**

Langkah Penanganan:
Kurangi kelembaban dan gunakan fungisida"
Hawar Daun Bakteri (Tebu),"tebu terdapat bercak pada daun, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Bakteri Xanthomonas albilineans)**

Langkah Penanganan:
Gunakan varietas tahan dan sanitasi kebun"
Busuk Akar Phytophthora (Tebu),"tebu daun tetap hijau, daun mengalami kelayuan, batang mengalami pembusukan","**(Penyebab: Jamur Phytophthora spp.)**

Langkah Penanganan:
Drainase tanah baik dan fungisida"
Bercak Daun (Tebu),"tebu terdapat bercak pada daun, batang mengalami pembusukan","**(Penyebab: jamur Cercospora spp.)**

Langkah Penanganan:
sanitasi daun sakit, rotasi tanaman, varietas tahan, fungisida"
Embun Tepung (Tebu),"tebu terdapat bercak pada daun, daun mengalami kelayuan, pertumbuhan tanaman terhambat","**(Penyebab: jamur Erysiphe spp.)**

Langkah Penanganan:
sanitasi kebun, rotasi tanaman, menjaga sirkulasi udara, fungisida"
Jamur Upas (Tebu),"tebu daun berwarna kuning, pertumbuhan tanaman terhambat","**(Penyebab: jamur Upasia salmonicolor)**

Langkah Penanganan:
pemangkasan bagian terinfeksi, sanitasi kebun, fungisida, pengaturan kelembapan"
Busuk Akar (Tebu),"tebu daun berwarna kuning, terdapat bercak pada daun, pertumbuhan tanaman terhambat","**(Penyebab: jamur Rhizoctonia solani)**

Langkah Penanganan:
rotasi tanaman, sanitasi lahan, drainase baik, fungisida"
Busuk Buah Botrytis (Tebu),"tebu terdapat bercak pada daun, batang mengalami pembusukan","**(Penyebab: Jamur Botrytis cinerea)**

Langkah Penanganan:
Sanitasi tanaman, kurangi kelembapan, pemangkasan bagian terinfeksi, fungisida"
Bercak Daun (Tebu),"tebu daun berwarna kuning, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Cercospora spp.)**

Langkah Penanganan:
Sanitasi daun terinfeksi, jarak tanam cukup, fungisida"
Antraknosa (Tebu),"tebu daun tetap hijau, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Colletotrichum spp.)**

Langkah Penanganan:
Sanitasi tanaman, rotasi tanaman, fungisida"
Karat Daun (Tebu),"tebu daun tetap hijau, terdapat bercak pada daun, daun mengalami kelayuan, batang mengalami pembusukan","**(Penyebab: Jamur Puccinia melanocephala)**

Langkah Penanganan:
Varietas tahan, sanitasi tanaman, fungisida"
Hawar Daun Bakteri (Tebu),"tebu terdapat bercak pada daun, batang mengalami pembusukan","**(Penyebab: Bakteri Xanthomonas albilineans)**

Langkah Penanganan:
Gunakan bibit sehat, sanitasi tanaman, bakterisida"
Busuk Buah Botrytis (Tebu),tebu daun mengalami kelayuan,"**(Penyebab: Jamur Botrytis cinerea)**

Langkah Penanganan:
Sanitasi tanaman, fungisida"
Busuk Akar Phytophthora (Tebu),"tebu daun berwarna kuning, terdapat bercak pada daun, daun mengalami kelayuan, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Phytophthora spp.)**

Langkah Penanganan:
Drainase baik, rotasi tanaman, fungisida"
Busuk Buah Botrytis (Tebu),"tebu terdapat bercak pada daun, batang mengalami pembusukan","**(Penyebab: Jamur Botrytis cinerea)**

Langkah Penanganan:
Sanitasi tanaman, fungisida"
Bercak Daun (Tebu),"tebu daun berwarna kuning, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Cercospora spp.)**

Langkah Penanganan:
Sanitasi daun sakit"
Antraknosa (Tebu),"tebu daun tetap hijau, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Colletotrichum spp.)**

Langkah Penanganan:
Sanitasi tanaman"
Karat Daun (Tebu),"tebu daun tetap hijau, terdapat bercak pada daun, daun mengalami kelayuan, batang mengalami pembusukan","**(Penyebab: Jamur Puccinia melanocephala)**

Langkah Penanganan:
varietas tahan, sanitasi sisa tanaman, pengaturan jarak tanam, fungisida mankozeb atau propikonazol"
Busuk Lunak (Tebu),"tebu daun tetap hijau, terdapat bercak pada daun, batang mengalami pembusukan","**(Penyebab: Bakteri Erwinia carotovora)**

Langkah Penanganan:
sanitasi kebun, perbaikan drainase tanah, bibit sehat, bakterisida tembaga, pengendalian kelembaban"
Embun Tepung (Tebu),"tebu daun berwarna kuning, terdapat bercak pada daun, daun mengalami kelayuan, batang mengalami pembusukan","**(Penyebab: Jamur Erysiphe spp.)**

Langkah Penanganan:
varietas tahan, pengurangan kelembaban, sanitasi daun terinfeksi, fungisida sulfur atau triazol"
Busuk Lunak (Tebu),"tebu terdapat bercak pada daun, batang mengalami pembusukan","**(Penyebab: Bakteri Erwinia carotovora)**

Langkah Penanganan:
sanitasi kebun, perbaikan drainase, bibit sehat, bakterisida tembaga"
Blas (Tebu),tebu daun bercak coklat berbentuk belah ketupat,"**(Penyebab: Jamur Magnaporthe oryzae)**

Langkah Penanganan:
Gunakan varietas tahan, fungisida, perbaikan drainase"
Wereng Batang Coklat (Tebu),tebu daun menguning lalu mengering,"**(Penyebab: Nilaparvata lugens)**

Langkah Penanganan:
Gunakan insektisida selektif, varietas tahan"
Ulat Grayak (Tebu),tebu daun berlubang tidak beraturan,"**(Penyebab: Spodoptera litura)**

Langkah Penanganan:
Gunakan insektisida biologis, perangkap feromon"
Layu Fusarium (Tebu),tebu daun layu dari bawah ke atas,"**(Penyebab: Fusarium oxysporum)**

Langkah Penanganan:
Solarisasi tanah, fungisida, varietas tahan"
Antraknosa (Tebu),tebu buah muncul bercak hitam cekung,"**(Penyebab: Colletotrichum capsici)**

Langkah Penanganan:
Fungisida, panen cepat, rotasi tanaman"
Busuk Buah (Tebu),"tebu buah coklat kehitaman, busuk lembek","**(Penyebab: Phytophthora palmivora)**

Langkah Penanganan:
Pangkas buah sakit, fungisida, drainase baik"
Karat Daun (Tebu),tebu daun bercak kuning-oranye,"**(Penyebab: Hemileia vastatrix)**

Langkah Penanganan:
Fungisida tembaga, pangkas daun sakit"
Virus Kuning (Tebu),"tebu daun keriting, kerdil, berubah kuning","**(Penyebab: Virus Gemini via kutu kebul)**

Langkah Penanganan:
Kendalikan kutu kebul, varietas tahan"
Busuk Akar (Tebu),"tebu akar membusuk, tanaman layu mendadak","**(Penyebab: Phytophthora spp.)**

Langkah Penanganan:
Perbaiki drainase, fungisida tanah"
Penggerek Buah (Tebu),"tebu buah berlubang kecil, biji rusak","**(Penyebab: Hypothenemus hampei)**

Langkah Penanganan:
Perangkap serangga, insektisida nabati"
Gulma Berdaun Lebar (Tebu),tebu gulma tumbuh dan bersaing nutrisi,"**(Penyebab: Richardia brasiliensis dkk)**

Langkah Penanganan:
Gunakan herbisida selektif (2,4-D), lakukan penyiangan manual, dan pengendalian gulma secara rutin"
Gulma Berdaun Sempit (Tebu),tebu rumput liar tumbuh cepat,"**(Penyebab: Digitaria ciliaris dkk)**

Langkah Penanganan:
Gunakan herbisida (glifosat), lakukan penyiangan, dan rotasi tanaman"
Cacar Daun (Teh),teh daun bercak menonjol,"**(Penyebab: Exobasidium vexans)**

Langkah Penanganan:
Gunakan fungisida tembaga, lakukan pemangkasan daun sakit, dan jaga sanitasi kebun"
Bercak Coklat (Teh),teh daun bercak coklat,"**(Penyebab: Colletotrichum cameliae)**

Langkah Penanganan:
Gunakan fungisida (mankozeb), sanitasi daun terinfeksi, dan perbaiki sirkulasi udara"
Pengisap Daun (Teh),teh daun rusak akibat hisapan,"**(Penyebab: Helopeltis sp.)**

Langkah Penanganan:
Gunakan insektisida selektif, lakukan monitoring rutin, dan pengendalian hama terpadu"
Rebah Batang (Tembakau),tanaman roboh saat muda,"**(Penyebab: Pythium spp.)**

Langkah Penanganan:
Gunakan fungisida tanah, perbaiki drainase, dan hindari kelembaban berlebih"
Rebah Batang (Tembakau),tanaman mati setelah rebah,"**(Penyebab: Rhizoctonia solani)**

Langkah Penanganan:
Gunakan fungisida, lakukan rotasi tanaman, dan sanitasi lahan"
Mosaic Virus (Virus Mosaik) (Tembakau),"tembakau daun belang-belang hijau muda/tua, mengeriting, tanaman kerdil.","**(Penyebab: Daun belang, mengeriting, tanaman kerdil)**

Langkah Penanganan:
Kendalikan vektor (kutu daun/aphids) dengan insektisida. Cabut dan bakar tanaman yang terinfeksi."
Layu Bakteri (Terong),"terong daun tetap hijau, terdapat bercak pada daun, batang mengalami pembusukan","**(Penyebab: Bakteri Ralstonia solanacearum)**

Langkah Penanganan:
Rotasi tanaman dan penggunaan varietas tahan penyakit"
Karat Daun (Terong),"terong daun mengalami kelayuan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Puccinia spp.)**

Langkah Penanganan:
Penyemprotan fungisida dan sanitasi daun"
Karat Daun (Terong),"terong daun tetap hijau, terdapat bercak pada daun","**(Penyebab: Jamur Puccinia spp.)**

Langkah Penanganan:
Fungisida dan pemangkasan daun terinfeksi"
Busuk Buah Botrytis (Terong),"terong daun tetap hijau, batang mengalami pembusukan","**(Penyebab: jamur Corticium salmonicolor)**

Langkah Penanganan:
Pangkas bagian tanaman yang terinfeksi, jaga sirkulasi udara, dan semprot fungisida berbahan tembaga."
Karat Daun (Terong),"terong daun tetap hijau, terdapat bercak pada daun, pertumbuhan tanaman terhambat","**(Penyebab: Jamur karat Puccinia spp.)**

Langkah Penanganan:
Semprot fungisida, buang daun terinfeksi"
Karat Daun (Terong),"terong daun tetap hijau, daun mengalami kelayuan","**(Penyebab: Jamur karat daun)**

Langkah Penanganan:
Semprot fungisida dan buang daun sakit"
Antraknosa (Terong),"terong daun mengalami kelayuan, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Colletotrichum spp.)**

Langkah Penanganan:
Gunakan fungisida dan buang bagian terinfeksi"
Embun Tepung (Terong),terong terdapat bercak pada daun,"**(Penyebab: Jamur Erysiphe spp.)**

Langkah Penanganan:
Fungisida sulfur"
